Question ID,Question Text,KC ID,KC Name,KC Description,Distractors,Student Errors (if any),Item Category,Item,Option A,Option B,Option C,Option D,Diagnosis A,Diagnosis B,Diagnosis C,Diagnosis D,Priority
,,,,,,,Fill in the blanks,"Complete the function signature so tax defaults to 5 when not provided by the caller.

def calculatePrice(____, ____):
    return price + (price * tax / 100)","price, tax","price, tax=5 [correct]","price, tax=None",None of the above,Missing KC-01 — no default; tax becomes required,Demonstrates KC-01 mastery,Missing KC-01 — None default needs extra None-check inside body,Missing KC-01 — sets a default for price unnecessarily; tax still requires explicit value,
,,,,,,,Reading question,"For def calculatePrice(price, tax=5), what does calculatePrice(200) return?",200,10,210 [correct],None of the above,Missing KC-01 — returns base price without applying default tax,Missing KC-01 — returns only fee amount,Demonstrates KC-01 mastery,Missing KC-01 — believes default parameter still requires explicit argument,
,,,,,,,Debugging the question,"calculatePrice(100, 10) returns 105 instead of 110. What is the root cause?

def calculatePrice(price, tax=5):
    tax = 5
    return price + (price * tax / 100)",The formula divides by the wrong value,tax=5 inside the body overwrites the caller-provided value 10 before the formula runs [correct],The default in the signature should be tax=10,None of the above,Missing KC-01 — misidentifies the issue,Demonstrates KC-01 mastery,Missing KC-01 — changing default doesn't fix the body overwrite,Missing KC-01 — None default adds complexity without fixing the body overwrite,
,,,,,,,Tweaking the code,"Remove the manual default check inside the body and let the signature handle it.

def calculatePrice(price, tax):
    if tax is None:
        tax = 5
    return price + (price * tax / 100)","Move the default to the signature: def calculatePrice(price, tax=5) and remove the if block [correct]",Change None to 0 in the if condition,Change if tax is None: to if not tax:,None of the above,Demonstrates KC-01 mastery,Missing KC-01 — 0 check fails when caller intentionally passes 0% tax,Missing KC-01 — falsy check fails for tax=0,Missing KC-01 — else branch overrides caller's value with 0,
,,KC-02,Percentage fee formula (price * tax / 100),"The fee is price multiplied by tax divided by 100. A tax of 5% means 5/100, so fee = price * 5 / 100. Forgetting to divide by 100 or dividing by the wrong value produces the wrong fee amount.","(a) price * tax — no /100, multiplies by raw tax value
(b) price * tax / 100 [correct]
(c) price * tax / 10 — divides by 10 instead of 100
(d) price / tax * 100 — inverted, grows with lower tax","Student writes price * tax without /100, treating tax as a fraction already
Student divides by 10 instead of 100
Student inverts numerator and denominator",Fixing bug,"calculatePrice(100, 5) returns 600 instead of 105. Select the fix.

def calculatePrice(price, tax=5):
    return price + price * tax   # missing /100",Change price * tax to price * tax / 100 [correct],Change price * tax to price / tax,Change price * tax to price * tax * 100,None of the above,Demonstrates KC-02 mastery,Missing KC-02 — inverts the formula,Missing KC-02 — makes the result even larger,"Missing KC-02 — subtraction instead of addition, still no /100",KC-02_Reading question
,,,,,,,Fill in the blanks,"Complete the fee calculation line.

def calculatePrice(price, tax=5):
    fee = price * tax ____
    return price + fee",* 100,/ 100 [correct],/ 10,None of the above,Missing KC-02 — multiplying inflates fee 100x,Demonstrates KC-02 mastery,Missing KC-02 — dividing by 10 overstates fee by 10x,"Missing KC-02 — divides by tax itself, not 100",
,,,,,,,Reading question,"For price=200 and tax=10, what is the fee amount before adding to the base price?",2000,20 [correct],2,None of the above,Missing KC-02 — omits /100,Demonstrates KC-02 mastery,Missing KC-02 — divides by 1000 instead of 100,Missing KC-02 — divides by 10 instead of 100,
,,,,,,,Debugging the question,"calculatePrice(100, 10) returns 200 instead of 110. What is the root cause?

def calculatePrice(price, tax=5):
    return price + price * tax / 10   # divides by 10",The default value is wrong,The formula divides by 10 instead of 100 — to convert a percentage to a decimal fraction it must be divided by 100 [correct],price is counted twice in the formula,None of the above,Missing KC-02 — misidentifies the issue,Demonstrates KC-02 mastery,Missing KC-02 — price + price*tax/100 is correct; price appears twice intentionally,Missing KC-02 — int vs float is not the root cause,
,,,,,,,Tweaking the code,"Simplify to the correct formula in one line.

def calculatePrice(price, tax=5):
    fraction = tax / 100
    fee = price * fraction
    extra = fee * 1
    return price + extra",Replace all intermediate lines with: return price + price * tax / 100 [correct],Replace all intermediate lines with: return price * tax / 100,Replace all intermediate lines with: return price + tax / 100,None of the above,Demonstrates KC-02 mastery,"Missing KC-02 — returns only the fee, not the total",Missing KC-02 — adds tax/100 directly to price instead of price*tax/100,Missing KC-02 — doubles price incorrectly,
,,KC-03,"Adding fee to base price (total, not just fee)",The function must return the total cost: base price PLUS the fee. Returning only the fee amount (price * tax / 100) omits the base subscription cost entirely. The correct formula is: return price + (price * tax / 100).,"(a) return price * tax / 100 — returns only fee, omits base price
(b) return price + price * tax / 100 [correct]
(c) return price - price * tax / 100 — subtracts fee instead of adding
(d) return price * (tax / 100) — same as option (a), only fee","Student returns only the fee (price*tax/100), forgetting to add the base price
Student subtracts the fee instead of adding it
Student returns the base price alone without adding the fee",Fixing bug,"calculatePrice(100, 5) returns 5.0 instead of 105. Select the fix.

def calculatePrice(price, tax=5):
    return price * tax / 100   # returns only the fee",Change to return price + price * tax / 100 [correct],Change to return price * tax * 100,Change to return price - price * tax / 100,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — inflates fee and still omits base price,Missing KC-03 — subtracts fee from base instead of adding,"Missing KC-03 — multiplies by (1+tax) instead of (1+tax/100), wrong scale",KC-03_Fixing bug
,,,,,,,Fill in the blanks,"Complete the return statement to give the total cost (base price + fee).

def calculatePrice(price, tax=5):
    fee = price * tax / 100
    return ____",fee,price + fee [correct],price - fee,None of the above,Missing KC-03 — returns only the fee amount,Demonstrates KC-03 mastery,Missing KC-03 — subtracts instead of adding,"Missing KC-03 — divides fee by price, meaningless",
,,,,,,,Reading question,"For price=100 and tax=5, the computed fee is 5. What should the function return?",5 (the fee only),95 (price minus fee),105 [correct] (price plus fee),None of the above,Missing KC-03 — returns only the fee,Missing KC-03 — subtracts fee,Demonstrates KC-03 mastery,Missing KC-03 — returns raw percentage fraction,
,,,,,,,Debugging the question,"calculatePrice(100, 5) returns 5.0 instead of 105. What is the root cause?

def calculatePrice(price, tax=5):
    return price * tax / 100",The tax default value is wrong,The formula computes only the fee (price*tax/100=5.0) without adding it to the base price of 100 [correct],The function is missing the default parameter,None of the above,Missing KC-03 — misidentifies the issue,Demonstrates KC-03 mastery,Missing KC-03 — default parameter is unrelated to this bug,Missing KC-03 — int/float distinction is not the root cause,
,,,,,,,Tweaking the code,"Fix the return statement so it returns the total cost, not just the fee.

def calculatePrice(price, tax=5):
    return price * tax / 100   # only the fee",Change to: return price + price * tax / 100 [correct],Change to: return price * tax * 100,Change to: return (price * tax) / 100 + tax,None of the above,Demonstrates KC-03 mastery,"Missing KC-03 — multiplies instead of divides, still no base price",Missing KC-03 — adds raw tax value instead of percentage fee,"Missing KC-03 — adds flat tax number, not percentage-based fee",
,,KC-04,"Use tax parameter, not a hardcoded value","The formula must use the tax parameter variable, not a hardcoded magic number. Hardcoding 5 or 0.05 in the formula causes the function to always apply 5% regardless of what the caller passes.","(a) fee = price * 5 / 100 — hardcodes 5, ignores caller's tax
(b) fee = price * tax / 100 [correct]
(c) fee = price * 0.05 — hardcodes 5% as decimal, ignores tax
(d) fee = price / tax * 5 — uses both wrong value and wrong formula","Student writes price * 5 / 100 instead of price * tax / 100
Student hardcodes the decimal 0.05 instead of using tax/100
Student defines a local fee_rate=5 that shadows the parameter",Fixing bug,"calculatePrice(100, 20) returns 105 instead of 120. The formula ignores the caller's tax. Select the fix.

def calculatePrice(price, tax=5):
    return price + price * 5 / 100   # hardcoded 5",Replace 5 in the formula with tax: return price + price * tax / 100 [correct],Change the hardcoded 5 to 20,Change the default to tax=20,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — hardcodes another specific value instead of using parameter,Missing KC-04 — changes default only; formula still hardcoded,Missing KC-04 — overwrites parameter with hardcoded value,KC-04_Fixing bug
,,,,,,,Fill in the blanks,"Complete the formula using the correct variable so any caller-provided tax is applied.

def calculatePrice(price, tax=5):
    return price + price * ____ / 100",5,tax [correct],0.05,None of the above,"Missing KC-04 — hardcodes 5%, always ignores caller value",Demonstrates KC-04 mastery,Missing KC-04 — hardcodes 5% as decimal; dividing again by 100 gives wrong result,"Missing KC-04 — uses price instead of tax, wrong variable",
,,,,,,,Reading question,"For calculatePrice(100, 20), what should the function return?","105 (ignores passed tax=20, uses hardcoded 5%)",120 [correct],100,None of the above,Missing KC-04 — uses hardcoded value instead of parameter,Demonstrates KC-04 mastery,Missing KC-04 — returns base price only,Missing KC-04 — returns only the tax value,
,,,,,,,Debugging the question,"calculatePrice(100, 10) returns 105 instead of 110. What is the root cause?

def calculatePrice(price, tax=5):
    fee_rate = 5   # local variable shadows parameter
    return price + price * fee_rate / 100",The formula divides by wrong value,"fee_rate is hardcoded to 5, ignoring the tax parameter value of 10 passed by the caller [correct]",The default should not be 5,None of the above,Missing KC-04 — misidentifies the issue,Demonstrates KC-04 mastery,Missing KC-04 — default is correct; fee_rate shadowing is the real bug,Missing KC-04 — price usage is correct,
,,,,,,,Tweaking the code,"Replace the hardcoded decimal with the parameter-based expression.

def calculatePrice(price, tax=5):
    return price + price * 0.05   # hardcoded 5% as decimal",Replace 0.05 with tax / 100 so the formula becomes: return price + price * tax / 100 [correct],Replace 0.05 with 5 / 100,Replace 0.05 with tax,None of the above,Demonstrates KC-04 mastery,"Missing KC-04 — 5/100 is still a hardcoded 5%, ignores caller",Missing KC-04 — price * tax multiplies by raw tax number without /100,Missing KC-04 — tax*100 is not a percentage calculation,
,,KC-05,Return numeric result (return vs print),The function must return the calculated total cost to the caller. Using print() displays the number on screen but causes the function to return None to the grader.,"(a) print(result) — displays but returns None
(b) return result [correct]
(c) return print(result) — evaluates print (displays), then returns None
(d) yield result — returns a generator, not a number","Student uses print(total) instead of return total causing None to be returned
Student returns an intermediate variable like fee instead of the total
Student believes return print(value) returns the printed value",Fixing bug,"This function fails all grader tests. Select the minimal fix.

def calculatePrice(price, tax=5):
    total = price + (price * tax / 100)
    print(total)",Change print(total) to return total [correct],Add return None after print(total),Change print(total) to return print(total),None of the above,Demonstrates KC-05 mastery,Missing KC-05 — still returns None explicitly,Missing KC-05 — return print() evaluates print first then returns None,Missing KC-05 — flushing has no effect on the return value,KC-05_Debugging
,,,,,,,Fill in the blanks,"Complete the final line so the grader receives the total subscription cost.

def calculatePrice(price, tax=5):
    total = price + (price * tax / 100)
    ____ total",print,return [correct],yield,None of the above,Missing KC-05 — prints to screen but returns None,Demonstrates KC-05 mastery,"Missing KC-05 — returns a generator object, not a number",No understanding — not a valid Python keyword,
,,,,,,,Reading question,What value does the grader receive if the function ends with print(total) and no return statement?,The computed total cost,0,None [correct],None of the above,Missing KC-05 — confuses print output with return value,Missing KC-05 — no basis for 0,Demonstrates KC-05 mastery,No understanding,
,,,,,,,Debugging the question,"Function displays the correct total on screen but the grader marks it wrong. Why?

def calculatePrice(price, tax=5):
    total = price + (price * tax / 100)
    print(total)",The formula is wrong,"print() displays the value but does not return it — the grader reads the return value, which is None [correct]",Should use sys.stdout.write instead of print,None of the above,Missing KC-05 — misidentifies the issue,Demonstrates KC-05 mastery,No understanding,Missing KC-05 — type casting is irrelevant to this bug,
,,,,,,,Tweaking the code,"Modify the function so the grader receives the total as the return value.

def calculatePrice(price, tax=5):
    total = price + (price * tax / 100)
    print(total)",Replace print(total) with return total [correct],Add return None after print(total),Change print(total) to return print(total),None of the above,Demonstrates KC-05 mastery,Missing KC-05 — still returns None,Missing KC-05 — return print() still returns None,No understanding — lambda does not affect return value,
,,KC-06,No input reading inside function,The function receives price and tax as parameters. Do not call input() or read from stdin inside the function — use only the parameter values passed by the caller.,"(a) price = int(input()) inside function — overwrites parameter, reads from stdin
(b) Uses price and tax parameters directly [correct]
(c) tax = int(input()) inside function — ignores passed tax, reads from stdin
(d) Hardcodes price = 100 inside function — wrong for other inputs","Student calls price = int(input()) inside function, overwriting the parameter
Student calls tax = int(input()) thinking a second line always needs to be read
Student hardcodes the input values instead of using the parameters",Fixing bug,"This function hangs when called as calculatePrice(100, 5). Select the fix.

def calculatePrice(price, tax=5):
    price = int(input())
    tax = int(input())
    return price + (price * tax / 100)",Remove both input() lines and use the parameters directly [correct],"Keep input() only for price, remove the one for tax",Wrap both input() calls in a try/except,None of the above,Demonstrates KC-06 mastery,"Missing KC-06 — still reads price from stdin, ignoring caller",Missing KC-06 — hides the error but does not fix the contract,"Missing KC-06 — moves the problem, does not fix the function",KC-06_Debugging
,,,,,,,Fill in the blanks,"Complete the function header so both values are received as parameters without any stdin reading.

def calculatePrice(____, ____):
    return price + (price * tax / 100)","int(input()), int(input())","price, tax=5 [correct]","input(), input()",None of the above,Missing KC-06 — calls input() as default expressions,Demonstrates KC-06 mastery,No understanding — input() is not a valid parameter name,"Missing KC-06 — no parameters, function cannot access price or tax",
,,,,,,,Reading question,Where should price and tax come from when executing inside calculatePrice?,Read from stdin using input(),Read from a file using open(),From the function's parameters as passed by the caller [correct],None of the above,Missing KC-06 — incorrect source,Missing KC-06 — incorrect source,Demonstrates KC-06 mastery,Missing KC-06 — global state violates function contract,
,,,,,,,Debugging the question,"When called as calculatePrice(100), the function hangs waiting for keyboard input. What is the root cause?

def calculatePrice(price, tax=5):
    price = int(input())",The default value for tax is wrong,"input() inside the function waits for stdin, but the caller already passed price=100 as an argument — input() is unnecessary [correct]",The function has too few parameters,None of the above,Missing KC-06 — misidentifies the issue,Demonstrates KC-06 mastery,No understanding,Missing KC-06 — type conversion is not the root cause,
,,,,,,,Tweaking the code,"Remove all stdin reads so the function uses only its parameters.

def calculatePrice(price, tax=5):
    price = int(input())
    tax_input = input()
    if tax_input:
        tax = int(tax_input)
    return price + (price * tax / 100)","Delete the price=int(input()), tax_input=input(), and if tax_input block — use price and tax parameters directly [correct]",Change int(input()) to float(input()),Move all input() calls to after the return statement,None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still reads from stdin,Missing KC-06 — dead code; still reads from stdin before return,Missing KC-06 — still reads from stdin via a different method,
